district_ID,district_Name
4153,St Johns Unified District
4154,Window Rock Unified District
4155,Round Valley Unified District
4156,Sanders Unified District
4157,Ganado Unified School District
4158,Chinle Unified District
4159,Red Mesa Unified District
4168,Tombstone Unified District
4169,Bisbee Unified District
4170,Willcox Unified District
4171,Bowie Unified District
4172,San Simon Unified District
4173,St David Unified District
4174,Douglas Unified District
4175,Sierra Vista Unified District
4190,Valley Union High School District
4191,"Center for Academic Success, Inc."
4192,Flagstaff Unified District
4193,Williams Unified District
4194,Grand Canyon Unified District
4195,Fredonia-Moccasin Unified District
4196,Page Unified School District #8 
4197,Tuba City Unified School District #15
4202,Flagstaff Arts And Leadership Academy
4204,Northland Preparatory Academy
4208,Globe Unified District
4209,Payson Unified District
4210,San Carlos Unified District
4211,Miami Unified District
4212,Hayden-Winkelman Unified District
4213,Young Elementary District
4216,Liberty High School
4217,Graham County Special Services
4218,Safford Unified District
4219,Thatcher Unified District
4220,Pima Unified District
4221,Fort Thomas Unified District
4228,Duncan Unified District
4230,Morenci Unified District
4231,Blue Elementary District
4234,Maricopa County Regional School District
4235,Mesa Unified District
4236,Wickenburg Unified District
4237,Peoria Unified School District
4238,Gila Bend Unified District
4239,Gilbert Unified District
4240,Scottsdale Unified District
4241,Paradise Valley Unified District
4242,Chandler Unified District #80
4243,Dysart Unified District
4244,Cave Creek Unified District
4245,Queen Creek Unified District
4246,Deer Valley Unified District
4247,Fountain Hills Unified District
4248,Higley Unified School District
4252,Nadaburg Unified School District
4254,Saddle Mountain Unified School District
4284,Buckeye Union High School District
4285,Glendale Union High School District
4286,Phoenix Union High School District
4287,Tempe Union High School District
4288,Tolleson Union High School District
4289,Agua Fria Union High School District
4297,"Accelerated Learning Center, Inc."
4300,CPLC Community Schools
4301,"Ridgeline Academy, Inc."
4314,Maricopa County Community College District dba Gateway Early College High School
4316,New School For The Arts
4320,Salt River Pima-Maricopa  Community Schools
4323,"Ombudsman Educational Services, Ltd.,a subsidiary of Educational Services of Ame"
4329,"Edkey, Inc. - Sequoia Choice Schools"
4331,"Arizona Agribusiness & Equine Center, Inc."
4332,"Genesis Program, Inc."
4334,"International Commerce Secondary Schools, Inc."
4335,Espiritu Community Development Corp.
4336,"Heritage Academy, Inc."
4337,"Humanities and Sciences Academy of the United States, Inc."
4342,Kaizen Education Foundation dba El Dorado High School
4345,Arizona School For The Arts
4346,Arizona Center for Youth Resources
4348,"American Leadership Academy, Inc."
4352,"Intelli-School, Inc."
4355,Benjamin Franklin Charter School - Queen Creek
4361,Tempe Preparatory Academy
4368,Lake Havasu Unified District
4369,Peach Springs Unified District
4370,Colorado City Unified District
4374,Littlefield Unified District
4381,Colorado River Union High School District
4383,Kingman Academy Of Learning
4386,Navajo County Accommodation District #99
4387,Winslow Unified District
4388,Joseph City Unified District
4389,Holbrook Unified District
4390,Pinon Unified District
4391,Snowflake Unified District
4392,Heber-Overgaard Unified District
4393,Show Low Unified District 
4394,Whiteriver Unified District
4396,Kayenta Unified School District #27
4397,Blue Ridge Unified School District No. 32
4400,"Career Development, Inc."
4401,Pima County Accommodation School District
4403,Tucson Unified District
4404,Marana Unified District
4405,Flowing Wells Unified District
4406,Amphitheater Unified District
4407,Sunnyside Unified District
4408,Tanque Verde Unified District
4409,Ajo Unified District
4410,Catalina Foothills Unified District
4411,Sahuarita Unified District
4412,Baboquivari Unified School District #40
4413,Vail Unified District
4420,Pima County
4421,"Edge School, Inc., The"
4422,Tucson Youth Development/ACE Charter High School
4425,Presidio School
4431,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)"
4435,Mary C O'Brien Accommodation District
4437,Florence Unified School District
4438,Ray Unified District
4439,Mammoth-San Manuel Unified District
4440,Superior Unified School District
4441,Maricopa Unified School District
4442,Coolidge Unified District
4443,Apache Junction Unified District
4445,J O Combs Unified School District
4453,Casa Grande Union High School District
4454,Santa Cruz Valley Union High School District
4457,Nogales Unified District
4458,Santa Cruz Valley Unified District
4462,Patagonia Union High School District
4466,Prescott Unified District
4467,Sedona-Oak Creek JUSD #9
4468,Bagdad Unified District
4469,Humboldt Unified District
4470,Camp Verde Unified District
4471,Ash Fork Joint Unified District
4472,Seligman Unified District
4473,Mayer Unified School District
4474,Chino Valley Unified District
4487,Cottonwood-Oak Creek Elementary District
4488,Mingus Union High School District
4506,Antelope Union High School District
4507,Yuma Union High School District
4509,"Yuma Private Industry Council, Inc."
4510,Parker Unified School District
4515,Bicentennial Union High School District
5180,"Paragon Management, Inc."
5181,"Metropolitan Arts Institute, Inc."
5186,Cholla Academy
6353,"Shonto Governing Board of Education, Inc."
6365,Edkey Inc. dba American Heritage Academy 
6369,Ha:san Educational Services
6374,Tucson Preparatory School
6379,Phoenix School of Academic Excellence The
6393,Arizona State Schools for the Deaf and the Blind
6446,"Edkey, Inc. - Sequoia Charter School"
8304,Utah High School
10386,Coconino County Accommodation School District
10879,"Mountain Rose Academy, Inc."
10965,Mary Ellen Halvorson Educational Foundation. dba: Tri-City Prep High School
78833,"Eastpointe High School, Inc."
