District_ID,School_ID,School_Name
4153,4711,St Johns High School
4153,89607,St. Johns Learning Center
4154,4717,Window Rock High School
4155,4721,Round Valley High School
4155,92686,Round Valley AOI
4156,4724,Valley High School
4157,4728,Ganado High School
4158,4737,Chinle High School
4158,1001800,Hozho Online Academy
4159,4741,Red Mesa High School
4168,4751,Tombstone High School
4169,4754,Bisbee High School
4169,1000301,Copper Credits
4170,4757,Willcox High School
4171,4759,Bowie High School
4172,4760,San Simon School
4173,4762,St David High School
4174,4773,Douglas High School
4174,1001916,DUSD Online Academy
4175,4783,Buena High School
4175,1001827,SVUSD AOI
4190,4800,Valley Union High School
4191,4801,Center for Academic Success #1 - Sierra Vista 9-12
4191,4802,Center for Academic Success #2 - Douglas 9-12
4192,4803,Summit High School
4192,4819,Flagstaff High School
4192,4820,Coconino High School
4192,230656,Northern Arizona Distance Learning
4193,4823,Williams High School
4194,4825,Grand Canyon High School
4195,4828,Fredonia High School
4196,4832,Page High School
4196,92913,Manson Mesa High School
4196,1001183,Sage & Sand Academy
4197,4838,Tuba City High School
4197,78916,Nizhoni Accelerated Academy
4202,4842,Flagstaff Arts And Leadership Academy
4204,4845,Northland Preparatory Academy
4208,4855,Globe High School
4208,1001828,Tiger Knowledge Online (TKO)
4209,4860,Payson High School
4210,4863,San Carlos High School
4210,89776,San Carlos Alternative High School
4211,4869,Miami Junior Senior High School
4212,4873,Hayden High School
4213,4875,Young High School
4216,4878,Liberty High School
4217,4879,Dan Hinton Accommodation School
4218,4884,Safford High School
4218,4885,Mt Graham High School
4218,216045,Henry Dunkerson Pathways Academy
4219,4889,Thatcher High School
4219,1001768,Eagle Online Academy
4220,4891,Pima High School
4220,92296,Gila Valley Learning Center
4221,4893,Fort Thomas High School
4221,90064,Mt. Turnbull Academy
4228,4903,Duncan High School
4230,4906,Morenci High School
4231,4908,Blue Elementary School
4234,969999,Hope College and Career Readiness Academy
4235,4980,Mesa High School
4235,4981,Westwood High School
4235,4982,Mountain View High School
4235,4983,Dobson High School
4235,4984,Red Mountain High School
4235,78917,Skyline High School
4235,78930,Mesa Distance Learning Program
4235,78932,East Valley Academy
4236,4987,Wickenburg High School
4236,91264,Wickenburg Virtual Academy
4237,5013,Peoria High School
4237,5014,Cactus High School
4237,5015,Ironwood High School
4237,5016,Centennial High School
4237,5017,Sunrise Mountain High School
4237,6231,Peoria Flex Academy
4237,81207,Peoria eCampus
4237,85835,Raymond S. Kellis
4237,87520,Liberty High School
4238,5019,Gila Bend High School
4239,5039,Gilbert High School
4239,5040,Highland High School
4239,6007,Mesquite High School
4239,79823,Desert Ridge High
4239,89606,Gilbert Classical Academy 7-12
4239,90124,Campo Verde High School
4239,91209,GPS Global Academy
4240,5066,Arcadia High School
4240,5067,Coronado High School
4240,5068,Saguaro High School
4240,5069,Chaparral High School
4240,5070,Desert Mountain High School
4240,91286,Scottsdale Online Learning
4241,5071,Roadrunner School
4241,5105,Paradise Valley High School
4241,5106,Horizon High School
4241,5107,North Canyon High School
4241,5108,Shadow Mountain High School
4241,79268,Pinnacle High School
4241,90782,pvONLINE
4241,92611,Sweetwater Community School
4242,5127,Chandler High School
4242,6015,Hamilton High School
4242,79633,Basha High School
4242,89591,Arizona College Prep High School
4242,89613,Perry High School
4242,91282,Chandler Online Academy
4242,92892,Dr. Camille Casteel High School
4243,5133,Dysart High School
4243,81113,Willow Canyon High School
4243,88417,Valley Vista High School
4243,90134,Shadow Ridge High School
4243,90875,Dysart iSchool
4244,5137,Cactus Shadows High School
4244,1001171,Cave Creek Academy of Excellence
4245,5141,Queen Creek High School
4245,92628,Queen Creek Virtual Academy
4245,1000117,Eastmark High School
4246,5161,Deer Valley High School
4246,5162,Barry Goldwater High School
4246,5163,Mountain Ridge High School
4246,79414,"Aspire, Deer Valley's Online Academy"
4246,80317,Sandra Day O'Connor High School
4246,85850,Boulder Creek High School
4247,5167,Fountain Hills High School
4247,90932,Fountain Hills Virtual Academy
4248,79374,Higley High School
4248,89581,Williams Field High School
4248,1001176,Higley Virtual Academy
4252,1000059,Nadaburg Online Virtual Academy
4254,85819,Tonopah Valley High School
4284,5424,Buckeye Union High School
4284,79376,Estrella Foothills High School
4284,89573,Youngker High School
4284,91826,BUHSD Institute of Online Learning
4285,5426,Glendale High School
4285,5427,Sunnyslope High School
4285,5428,Washington High School
4285,5429,Cortez High School
4285,5430,Moon Valley High School
4285,5431,Apollo High School
4285,5432,Thunderbird High School
4285,5433,Greenway High School
4285,5434,Independence High School
4285,5435,Glendale Union High School District Online Learning Academy
4285,794564,Glendale Union Online
4286,5436,Alhambra High School
4286,5437,Trevor Browne High School
4286,5438,Camelback High School
4286,5439,Central High School
4286,5440,Carl Hayden High School
4286,5441,Maryvale High School
4286,5442,North High School
4286,5443,South Mountain High School
4286,6248,Metro Tech High School
4286,6249,Bostrom Alternative Center
4286,78847,Cesar Chavez High School
4286,79617,Linda Abril Educational Academy
4286,88407,Phoenix Union Bioscience High School
4286,89571,Betty Fairfax High School
4286,89778,Franklin Police and Fire High School
4286,128903,Phoenix Union-Wilson College Preparatory
4286,221992,Phoenix Coding Academy
4286,875776,Phoenix Digital Academy
4286,1001158,PXU City
4287,5444,Tempe High School
4287,5445,Mcclintock High School
4287,5446,Marcos De Niza High School
4287,5447,Corona Del Sol High School
4287,5448,Mountain Pointe High School
4287,5449,Desert Vista High School
4287,87990,TAPBI
4288,5452,Tolleson Union High School
4288,5453,Westview High School
4288,80051,La Joya Community High School
4288,85810,Copper Canyon High School
4288,89908,Sierra Linda High School
4288,90085,West Point High School
4288,90551,University High School
4289,5454,Agua Fria High School
4289,78926,Millennium High School
4289,79799,Desert Edge High School
4289,87903,Verrado High School
4289,932049,Canyon View High School
4297,5462,Accelerated Learning Center
4300,5466,Girls Leadership Academy of Arizona
4301,5467,"Ridgeline Academy, Inc."
4314,5480,Gateway Early College High School
4316,5482,New School for the Arts
4320,90159,Salt River Accelerated Learning Academy
4323,5493,Ombudsman - Charter East
4323,10737,Ombudsman - Charter West
4323,78814,Ombudsman - Charter Metro
4323,79174,Ombudsman - Charter Northeast
4323,80026,Ombudsman - Charter Northwest
4323,89440,Ombudsman - Charter East II
4323,89827,Ombudsman - Charter Valencia
4323,1001731,Ombudsman Online Academy
4329,5500,Sequoia Choice School Arizona Distance Learning School
4329,90322,Sequoia Pathfinder Academy at Verrado Way and I-10
4331,6344,AAEC - Paradise Valley
4332,5504,Genesis Academy
4334,88232,International Commerce High School - Phoenix
4335,5507,NFL YET College Prep Academy
4336,5509,Heritage Academy
4336,1000169,Heritage Academy Maricopa
4337,79042,International Commerce High School - Tempe
4337,81181,Humanities and Sciences Academy Arizona
4337,1001879,International Commerce High School MCG
4342,78899,Kaizen Education Foundation dba El Dorado High School
4342,92246,Glenview College Preparatory High School
4345,5519,Arizona School For The Arts
4346,5520,City View High School 
4348,90769,"American Leadership Academy, Queen Creek K-12"
4348,92348,"American Leadership Academy, Anthem K-6"
4348,92885,"American Leadership Academy, Ironwood K12"
4348,509281,"American Leadership Academy, Gilbert North K-12"
4348,1001506,AMERICAN LEADERSHIP ACADEMY VIRTUAL 
4348,1001509,"American Leadership Academy, West Foothills K-12"
4348,1001761,American Leadership Academy of Applied Technologies
4352,10746,Intelli-School - Paradise Valley
4352,1001763,IntelliSchool Online
4355,92270,Benjamin Franklin High School
4361,5549,Tempe Preparatory Academy
4368,5565,Lake Havasu High School
4368,85839,Havasuonline
4369,1001855,Music Mountain Academy
4370,5567,El Capitan Public School
