School_ID,School_Name,Subgroup_Name,No_in_Class,No_Graduated,Percent_Graduated
969999,Hope College and Career Readiness Academy,All,30,0,0
969999,Hope College and Career Readiness Academy,American Indian or Alaska Native,0,0,0
969999,Hope College and Career Readiness Academy,Black/African American,0,0,0
969999,Hope College and Career Readiness Academy,English Learners,0,0,0
969999,Hope College and Career Readiness Academy,ELFEP14,0,0,0
969999,Hope College and Career Readiness Academy,Female,15,0,0
969999,Hope College and Career Readiness Academy,Hispanic or Latino,21,0,0
969999,Hope College and Career Readiness Academy,Income Eligibility 1 & 2,30,0,0
969999,Hope College and Career Readiness Academy,Male,15,0,0
969999,Hope College and Career Readiness Academy,Multiple Races,0,0,0
969999,Hope College and Career Readiness Academy,Special Education,0,0,0
969999,Hope College and Career Readiness Academy,White,0,0,0
4980,Mesa High School,All,793,635,80.1
4980,Mesa High School,American Indian or Alaska Native,11,0,0
4980,Mesa High School,Asian,0,0,0
4980,Mesa High School,Black/African American,30,0,0
4980,Mesa High School,English Learners,66,51,77.3
4980,Mesa High School,ELFEP14,77,60,77.9
4980,Mesa High School,Female,402,344,85.6
4980,Mesa High School,Foster Care,0,0,0
4980,Mesa High School,Hispanic or Latino,562,439,78.1
4980,Mesa High School,Homeless,11,0,0
4980,Mesa High School,Income Eligibility 1 & 2,433,337,77.8
4980,Mesa High School,Male,391,291,74.4
4980,Mesa High School,Migrant,0,0,0
4980,Mesa High School,Military,0,0,0
4980,Mesa High School,Multiple Races,0,0,0
4980,Mesa High School,Native Hawaiian or Pacific Islander,0,0,0
4980,Mesa High School,Special Education,93,63,67.7
4980,Mesa High School,White,176,154,87.5
4981,Westwood High School,All,764,562,73.6
4981,Westwood High School,American Indian or Alaska Native,77,51,66.2
4981,Westwood High School,Asian,0,0,0
4981,Westwood High School,Black/African American,57,40,70.2
4981,Westwood High School,English Learners,54,39,72.2
4981,Westwood High School,ELFEP14,65,48,73.8
4981,Westwood High School,Female,395,316,80
4981,Westwood High School,Foster Care,0,0,0
4981,Westwood High School,Hispanic or Latino,444,324,73
4981,Westwood High School,Homeless,11,0,0
4981,Westwood High School,Income Eligibility 1 & 2,424,306,72.2
4981,Westwood High School,Male,369,246,66.7
4981,Westwood High School,Migrant,0,0,0
4981,Westwood High School,Multiple Races,13,0,0
4981,Westwood High School,Native Hawaiian or Pacific Islander,0,0,0
4981,Westwood High School,Special Education,103,70,68
4981,Westwood High School,White,153,128,83.7
4982,Mountain View High School,All,801,705,88
4982,Mountain View High School,American Indian or Alaska Native,33,0,0
4982,Mountain View High School,Asian,13,0,0
4982,Mountain View High School,Black/African American,25,0,0
4982,Mountain View High School,English Learners,0,0,0
4982,Mountain View High School,ELFEP14,11,0,0
4982,Mountain View High School,Female,382,346,90.6
4982,Mountain View High School,Foster Care,0,0,0
4982,Mountain View High School,Hispanic or Latino,210,165,78.6
4982,Mountain View High School,Homeless,0,0,0
4982,Mountain View High School,Income Eligibility 1 & 2,186,149,80.1
4982,Mountain View High School,Male,419,359,85.7
4982,Mountain View High School,Migrant,0,0,0
4982,Mountain View High School,Multiple Races,0,0,0
4982,Mountain View High School,Native Hawaiian or Pacific Islander,0,0,0
4982,Mountain View High School,Special Education,79,63,79.7
4982,Mountain View High School,White,504,473,93.8
4983,Dobson High School,All,587,485,82.6
4983,Dobson High School,American Indian or Alaska Native,31,0,0
4983,Dobson High School,Asian,0,0,0
4983,Dobson High School,Black/African American,41,0,0
4983,Dobson High School,English Learners,35,0,0
4983,Dobson High School,ELFEP14,41,0,0
4983,Dobson High School,Female,314,263,83.8
4983,Dobson High School,Foster Care,0,0,0
4983,Dobson High School,Hispanic or Latino,329,270,82.1
4983,Dobson High School,Homeless,13,0,0
4983,Dobson High School,Income Eligibility 1 & 2,291,237,81.4
4983,Dobson High School,Male,273,222,81.3
4983,Dobson High School,Migrant,0,0,0
4983,Dobson High School,Military,0,0,0
4983,Dobson High School,Multiple Races,16,0,0
4983,Dobson High School,Native Hawaiian or Pacific Islander,0,0,0
4983,Dobson High School,Special Education,79,58,73.4
4983,Dobson High School,White,148,125,84.5
4984,Red Mountain High School,All,891,818,91.8
4984,Red Mountain High School,American Indian or Alaska Native,0,0,0
4984,Red Mountain High School,Asian,17,0,0
4984,Red Mountain High School,Black/African American,29,0,0
4984,Red Mountain High School,English Learners,0,0,0
4984,Red Mountain High School,ELFEP14,15,0,0
4984,Red Mountain High School,Female,425,396,93.2
4984,Red Mountain High School,Foster Care,0,0,0
4984,Red Mountain High School,Hispanic or Latino,222,202,91
4984,Red Mountain High School,Homeless,12,0,0
4984,Red Mountain High School,Income Eligibility 1 & 2,221,196,88.7
4984,Red Mountain High School,Male,466,422,90.6
4984,Red Mountain High School,Migrant,0,0,0
4984,Red Mountain High School,Military,0,0,0
4984,Red Mountain High School,Multiple Races,21,0,0
4984,Red Mountain High School,Native Hawaiian or Pacific Islander,0,0,0
4984,Red Mountain High School,Special Education,104,88,84.6
4984,Red Mountain High School,White,582,535,91.9
78917,Skyline High School,All,561,453,80.7
78917,Skyline High School,American Indian or Alaska Native,0,0,0
78917,Skyline High School,Asian,0,0,0
78917,Skyline High School,Black/African American,21,0,0
78917,Skyline High School,English Learners,15,0,0
78917,Skyline High School,ELFEP14,16,0,0
78917,Skyline High School,Female,291,244,83.8
78917,Skyline High School,Foster Care,0,0,0
78917,Skyline High School,Hispanic or Latino,255,211,82.7
78917,Skyline High School,Homeless,0,0,0
78917,Skyline High School,Income Eligibility 1 & 2,249,192,77.1
78917,Skyline High School,Male,270,209,77.4
78917,Skyline High School,Migrant,0,0,0
78917,Skyline High School,Military,0,0,0
78917,Skyline High School,Multiple Races,0,0,0
78917,Skyline High School,Native Hawaiian or Pacific Islander,0,0,0
78917,Skyline High School,Special Education,86,58,67.4
78917,Skyline High School,White,252,201,79.8
78930,Mesa Distance Learning Program,All,37,0,0
78930,Mesa Distance Learning Program,American Indian or Alaska Native,0,0,0
78930,Mesa Distance Learning Program,Asian,0,0,0
78930,Mesa Distance Learning Program,Black/African American,0,0,0
78930,Mesa Distance Learning Program,ELFEP14,0,0,0
78930,Mesa Distance Learning Program,Female,24,0,0
78930,Mesa Distance Learning Program,Hispanic or Latino,0,0,0
78930,Mesa Distance Learning Program,Male,13,0,0
78930,Mesa Distance Learning Program,Multiple Races,0,0,0
78930,Mesa Distance Learning Program,Special Education,0,0,0
78930,Mesa Distance Learning Program,White,18,0,0
78932,East Valley Academy,All,130,32,24.6
78932,East Valley Academy,American Indian or Alaska Native,0,0,0
78932,East Valley Academy,Asian,0,0,0
78932,East Valley Academy,Black/African American,0,0,0
78932,East Valley Academy,English Learners,0,0,0
78932,East Valley Academy,ELFEP14,0,0,0
78932,East Valley Academy,Female,60,14,23.3
78932,East Valley Academy,Foster Care,0,0,0
78932,East Valley Academy,Hispanic or Latino,90,16,17.8
78932,East Valley Academy,Homeless,0,0,0
78932,East Valley Academy,Income Eligibility 1 & 2,69,17,24.6
78932,East Valley Academy,Male,70,18,25.7
78932,East Valley Academy,Migrant,0,0,0
78932,East Valley Academy,Multiple Races,0,0,0
78932,East Valley Academy,Native Hawaiian or Pacific Islander,0,0,0
78932,East Valley Academy,Special Education,19,0,0
78932,East Valley Academy,White,20,0,0
4987,Wickenburg High School,All,92,55,59.8
4987,Wickenburg High School,American Indian or Alaska Native,0,0,0
4987,Wickenburg High School,Asian,0,0,0
4987,Wickenburg High School,Black/African American,0,0,0
4987,Wickenburg High School,English Learners,0,0,0
4987,Wickenburg High School,ELFEP14,0,0,0
4987,Wickenburg High School,Female,44,27,61.4
4987,Wickenburg High School,Foster Care,0,0,0
4987,Wickenburg High School,Hispanic or Latino,35,21,60
4987,Wickenburg High School,Homeless,0,0,0
4987,Wickenburg High School,Income Eligibility 1 & 2,29,0,0
4987,Wickenburg High School,Male,48,28,58.3
4987,Wickenburg High School,Special Education,16,0,0
4987,Wickenburg High School,White,52,30,57.7
91264,Wickenburg Virtual Academy,All,49,34,69.4
91264,Wickenburg Virtual Academy,Black/African American,0,0,0
91264,Wickenburg Virtual Academy,English Learners,0,0,0
91264,Wickenburg Virtual Academy,ELFEP14,0,0,0
91264,Wickenburg Virtual Academy,Female,23,0,0
91264,Wickenburg Virtual Academy,Hispanic or Latino,18,0,0
91264,Wickenburg Virtual Academy,Homeless,0,0,0
91264,Wickenburg Virtual Academy,Income Eligibility 1 & 2,11,0,0
91264,Wickenburg Virtual Academy,Male,26,0,0
91264,Wickenburg Virtual Academy,Military,0,0,0
91264,Wickenburg Virtual Academy,Special Education,0,0,0
91264,Wickenburg Virtual Academy,White,30,0,0
5013,Peoria High School,All,323,309,95.7
5013,Peoria High School,American Indian or Alaska Native,0,0,0
5013,Peoria High School,Asian,0,0,0
5013,Peoria High School,Black/African American,30,0,0
5013,Peoria High School,English Learners,13,0,0
5013,Peoria High School,ELFEP14,19,0,0
5013,Peoria High School,Female,164,0,0
5013,Peoria High School,Foster Care,0,0,0
5013,Peoria High School,Hispanic or Latino,188,0,0
5013,Peoria High School,Homeless,0,0,0
5013,Peoria High School,Income Eligibility 1 & 2,151,0,0
5013,Peoria High School,Male,159,0,0
5013,Peoria High School,Multiple Races,13,0,0
5013,Peoria High School,Native Hawaiian or Pacific Islander,0,0,0
5013,Peoria High School,Special Education,28,0,0
5013,Peoria High School,White,78,0,0
5014,Cactus High School,All,266,248,93.2
5014,Cactus High School,American Indian or Alaska Native,0,0,0
5014,Cactus High School,Asian,0,0,0
5014,Cactus High School,Black/African American,0,0,0
5014,Cactus High School,English Learners,0,0,0
5014,Cactus High School,ELFEP14,0,0,0
5014,Cactus High School,Female,129,0,0
